gene_id,symbol,name,species,ensembl,entrez,biotype,synonyms
Gm10188,Gm10188,,Mus musculus,,,protein_coding,
Gm10189,Gm10189,,Mus musculus,,,protein_coding,
Gm10190,Gm10190,,Mus musculus,,,protein_coding,
Gm10191,Gm10191,,Mus musculus,,,protein_coding,
Gm10192,Gm10192,,Mus musculus,,,protein_coding,
Gm10193,Gm10193,,Mus musculus,,,protein_coding,
Gm10194,Gm10194,,Mus musculus,,,protein_coding,
Gm10195,Gm10195,,Mus musculus,,,protein_coding,
Gm10196,Gm10196,,Mus musculus,,,protein_coding,
Gm10197,Gm10197,,Mus musculus,,,protein_coding,
Gm10198,Gm10198,,Mus musculus,,,protein_coding,
Gm10199,Gm10199,,Mus musculus,,,protein_coding,
Gm10200,Gm10200,,Mus musculus,,,protein_coding,
Gm10201,Gm10201,,Mus musculus,,,protein_coding,
Gm10202,Gm10202,,Mus musculus,,,protein_coding,
Gm10203,Gm10203,,Mus musculus,,,protein_coding,
Gm10204,Gm10204,,Mus musculus,,,protein_coding,
Gm10205,Gm10205,,Mus musculus,,,protein_coding,
Gm10206,Gm10206,,Mus musculus,,,protein_coding,
Gm10207,Gm10207,,Mus musculus,,,protein_coding,
Gm10208,Gm10208,,Mus musculus,,,protein_coding,
Gm10209,Gm10209,,Mus musculus,,,protein_coding,
Gm10210,Gm10210,,Mus musculus,,,protein_coding,
Gm10211,Gm10211,,Mus musculus,,,protein_coding,
Gm10212,Gm10212,,Mus musculus,,,protein_coding,
Gm10213,Gm10213,,Mus musculus,,,protein_coding,
Gm10214,Gm10214,,Mus musculus,,,protein_coding,
Gm10215,Gm10215,,Mus musculus,,,protein_coding,
Gm10216,Gm10216,,Mus musculus,,,protein_coding,
Gm10217,Gm10217,,Mus musculus,,,protein_coding,
Gm10218,Gm10218,,Mus musculus,,,protein_coding,
Gm10219,Gm10219,,Mus musculus,,,protein_coding,
Gm10220,Gm10220,,Mus musculus,,,protein_coding,
Gm10221,Gm10221,,Mus musculus,,,protein_coding,
Gm10222,Gm10222,,Mus musculus,,,protein_coding,
Gm10223,Gm10223,,Mus musculus,,,protein_coding,
Gm10224,Gm10224,,Mus musculus,,,protein_coding,
Gm10225,Gm10225,,Mus musculus,,,protein_coding,
Gm10226,Gm10226,,Mus musculus,,,protein_coding,
Gm10227,Gm10227,,Mus musculus,,,protein_coding,
Gm10228,Gm10228,,Mus musculus,,,protein_coding,
Gm10229,Gm10229,,Mus musculus,,,protein_coding,
Gm10230,Gm10230,,Mus musculus,,,protein_coding,
Gm10231,Gm10231,,Mus musculus,,,protein_coding,
Gm10232,Gm10232,,Mus musculus,,,protein_coding,
Gm10233,Gm10233,,Mus musculus,,,protein_coding,
Gm10234,Gm10234,,Mus musculus,,,protein_coding,
Gm10235,Gm10235,,Mus musculus,,,protein_coding,
Gm10236,Gm10236,,Mus musculus,,,protein_coding,
Gm10237,Gm10237,,Mus musculus,,,protein_coding,
Gm10238,Gm10238,,Mus musculus,,,protein_coding,
Gm10239,Gm10239,,Mus musculus,,,protein_coding,
Gm10240,Gm10240,,Mus musculus,,,protein_coding,
Gm10241,Gm10241,,Mus musculus,,,protein_coding,
Gm10242,Gm10242,,Mus musculus,,,protein_coding,
Gm10243,Gm10243,,Mus musculus,,,protein_coding,
Gm10244,Gm10244,,Mus musculus,,,protein_coding,
Gm10245,Gm10245,,Mus musculus,,,protein_coding,
Gm10246,Gm10246,,Mus musculus,,,protein_coding,
Gm10247,Gm10247,,Mus musculus,,,protein_coding,
Gm10248,Gm10248,,Mus musculus,,,protein_coding,
Gm10249,Gm10249,,Mus musculus,,,protein_coding,
Gm10250,Gm10250,,Mus musculus,,,protein_coding,
Gm10251,Gm10251,,Mus musculus,,,protein_coding,
Gm10252,Gm10252,,Mus musculus,,,protein_coding,
Gm10253,Gm10253,,Mus musculus,,,protein_coding,
Gm10254,Gm10254,,Mus musculus,,,protein_coding,
Gm10255,Gm10255,,Mus musculus,,,protein_coding,
Gm10256,Gm10256,,Mus musculus,,,protein_coding,
Gm10257,Gm10257,,Mus musculus,,,protein_coding,
Gm10258,Gm10258,,Mus musculus,,,protein_coding,
Gm10259,Gm10259,,Mus musculus,,,protein_coding,
Gm10260,Gm10260,,Mus musculus,,,protein_coding,
Gm10261,Gm10261,,Mus musculus,,,protein_coding,
Gm10262,Gm10262,,Mus musculus,,,protein_coding,
Gm10263,Gm10263,,Mus musculus,,,protein_coding,
Gm10264,Gm10264,,Mus musculus,,,protein_coding,
Gm10265,Gm10265,,Mus musculus,,,protein_coding,
Gm10266,Gm10266,,Mus musculus,,,protein_coding,
Gm10267,Gm10267,,Mus musculus,,,protein_coding,
Gm10268,Gm10268,,Mus musculus,,,protein_coding,
Gm10269,Gm10269,,Mus musculus,,,protein_coding,
Gm10270,Gm10270,,Mus musculus,,,protein_coding,
Gm10271,Gm10271,,Mus musculus,,,protein_coding,
Gm10272,Gm10272,,Mus musculus,,,protein_coding,
Gm10273,Gm10273,,Mus musculus,,,protein_coding,
Gm10274,Gm10274,,Mus musculus,,,protein_coding,
Gm10275,Gm10275,,Mus musculus,,,protein_coding,
Gm10276,Gm10276,,Mus musculus,,,protein_coding,
Gm10277,Gm10277,,Mus musculus,,,protein_coding,
Gm10278,Gm10278,,Mus musculus,,,protein_coding,
Gm10279,Gm10279,,Mus musculus,,,protein_coding,
Gm10280,Gm10280,,Mus musculus,,,protein_coding,
Gm10281,Gm10281,,Mus musculus,,,protein_coding,
Gm10282,Gm10282,,Mus musculus,,,protein_coding,
Gm10283,Gm10283,,Mus musculus,,,protein_coding,
Gm10284,Gm10284,,Mus musculus,,,protein_coding,
Gm10285,Gm10285,,Mus musculus,,,protein_coding,
Gm10286,Gm10286,,Mus musculus,,,protein_coding,
Gm10287,Gm10287,,Mus musculus,,,protein_coding,
Gm10288,Gm10288,,Mus musculus,,,protein_coding,
Gm10289,Gm10289,,Mus musculus,,,protein_coding,
Gm10290,Gm10290,,Mus musculus,,,protein_coding,
Gm10291,Gm10291,,Mus musculus,,,protein_coding,
Gm10292,Gm10292,,Mus musculus,,,protein_coding,
Gm10293,Gm10293,,Mus musculus,,,protein_coding,
Gm10294,Gm10294,,Mus musculus,,,protein_coding,
Gm10295,Gm10295,,Mus musculus,,,protein_coding,
Gm10296,Gm10296,,Mus musculus,,,protein_coding,
Gm10297,Gm10297,,Mus musculus,,,protein_coding,
Gm10298,Gm10298,,Mus musculus,,,protein_coding,
Gm10299,Gm10299,,Mus musculus,,,protein_coding,
Gm10300,Gm10300,,Mus musculus,,,protein_coding,
Gm10301,Gm10301,,Mus musculus,,,protein_coding,
Gm10302,Gm10302,,Mus musculus,,,protein_coding,
Gm10303,Gm10303,,Mus musculus,,,protein_coding,
Gm10304,Gm10304,,Mus musculus,,,protein_coding,
Gm10305,Gm10305,,Mus musculus,,,protein_coding,
Gm10306,Gm10306,,Mus musculus,,,protein_coding,
Gm10307,Gm10307,,Mus musculus,,,protein_coding,
Gm10308,Gm10308,,Mus musculus,,,protein_coding,
Gm10309,Gm10309,,Mus musculus,,,protein_coding,
Gm10310,Gm10310,,Mus musculus,,,protein_coding,
Gm10311,Gm10311,,Mus musculus,,,protein_coding,
Gm10312,Gm10312,,Mus musculus,,,protein_coding,
Gm10313,Gm10313,,Mus musculus,,,protein_coding,
Gm10314,Gm10314,,Mus musculus,,,protein_coding,
Gm10315,Gm10315,,Mus musculus,,,protein_coding,
Gm10316,Gm10316,,Mus musculus,,,protein_coding,
Gm10317,Gm10317,,Mus musculus,,,protein_coding,
Gm10318,Gm10318,,Mus musculus,,,protein_coding,
Gm10319,Gm10319,,Mus musculus,,,protein_coding,
Gm10320,Gm10320,,Mus musculus,,,protein_coding,
Gm10321,Gm10321,,Mus musculus,,,protein_coding,
Gm10322,Gm10322,,Mus musculus,,,protein_coding,
Gm10323,Gm10323,,Mus musculus,,,protein_coding,
Gm10324,Gm10324,,Mus musculus,,,protein_coding,
Gm10325,Gm10325,,Mus musculus,,,protein_coding,
Gm10326,Gm10326,,Mus musculus,,,protein_coding,
Gm10327,Gm10327,,Mus musculus,,,protein_coding,
Gm10328,Gm10328,,Mus musculus,,,protein_coding,
Gm10329,Gm10329,,Mus musculus,,,protein_coding,
Gm10330,Gm10330,,Mus musculus,,,protein_coding,
Gm10331,Gm10331,,Mus musculus,,,protein_coding,
Gm10332,Gm10332,,Mus musculus,,,protein_coding,
Gm10333,Gm10333,,Mus musculus,,,protein_coding,
Gm10334,Gm10334,,Mus musculus,,,protein_coding,
Gm10335,Gm10335,,Mus musculus,,,protein_coding,
Gm10336,Gm10336,,Mus musculus,,,protein_coding,
Gm10337,Gm10337,,Mus musculus,,,protein_coding,
Gm10338,Gm10338,,Mus musculus,,,protein_coding,
Gm10339,Gm10339,,Mus musculus,,,protein_coding,
Gm10340,Gm10340,,Mus musculus,,,protein_coding,
Gm10341,Gm10341,,Mus musculus,,,protein_coding,
Gm10342,Gm10342,,Mus musculus,,,protein_coding,
Gm10343,Gm10343,,Mus musculus,,,protein_coding,
Gm10344,Gm10344,,Mus musculus,,,protein_coding,
Gm10345,Gm10345,,Mus musculus,,,protein_coding,
Gm10346,Gm10346,,Mus musculus,,,protein_coding,
Gm10347,Gm10347,,Mus musculus,,,protein_coding,
Gm10348,Gm10348,,Mus musculus,,,protein_coding,
Gm10349,Gm10349,,Mus musculus,,,protein_coding,
Gm10350,Gm10350,,Mus musculus,,,protein_coding,
Gm10351,Gm10351,,Mus musculus,,,protein_coding,
Gm10352,Gm10352,,Mus musculus,,,protein_coding,
Gm10353,Gm10353,,Mus musculus,,,protein_coding,
Gm10354,Gm10354,,Mus musculus,,,protein_coding,
Gm10355,Gm10355,,Mus musculus,,,protein_coding,
Gm10356,Gm10356,,Mus musculus,,,protein_coding,
Gm10357,Gm10357,,Mus musculus,,,protein_coding,
Gm10358,Gm10358,,Mus musculus,,,protein_coding,
Gm10359,Gm10359,,Mus musculus,,,protein_coding,
Gm10360,Gm10360,,Mus musculus,,,protein_coding,
Gm10361,Gm10361,,Mus musculus,,,protein_coding,
Gm10362,Gm10362,,Mus musculus,,,protein_coding,
Gm10363,Gm10363,,Mus musculus,,,protein_coding,
Gm10364,Gm10364,,Mus musculus,,,protein_coding,
Gm10365,Gm10365,,Mus musculus,,,protein_coding,
Gm10366,Gm10366,,Mus musculus,,,protein_coding,
Gm10367,Gm10367,,Mus musculus,,,protein_coding,
Gm10368,Gm10368,,Mus musculus,,,protein_coding,
Gm10369,Gm10369,,Mus musculus,,,protein_coding,
Gm10370,Gm10370,,Mus musculus,,,protein_coding,
Gm10371,Gm10371,,Mus musculus,,,protein_coding,
Gm10372,Gm10372,,Mus musculus,,,protein_coding,
Gm10373,Gm10373,,Mus musculus,,,protein_coding,
Gm10374,Gm10374,,Mus musculus,,,protein_coding,
Gm10375,Gm10375,,Mus musculus,,,protein_coding,
Gm10376,Gm10376,,Mus musculus,,,protein_coding,
Gm10377,Gm10377,,Mus musculus,,,protein_coding,
Gm10378,Gm10378,,Mus musculus,,,protein_coding,
Gm10379,Gm10379,,Mus musculus,,,protein_coding,
Gm10380,Gm10380,,Mus musculus,,,protein_coding,
Gm10381,Gm10381,,Mus musculus,,,protein_coding,
Gm10382,Gm10382,,Mus musculus,,,protein_coding,
Gm10383,Gm10383,,Mus musculus,,,protein_coding,
Gm10384,Gm10384,,Mus musculus,,,protein_coding,
Gm10385,Gm10385,,Mus musculus,,,protein_coding,
Gm10386,Gm10386,,Mus musculus,,,protein_coding,
Gm10387,Gm10387,,Mus musculus,,,protein_coding,
Gm10388,Gm10388,,Mus musculus,,,protein_coding,
Gm10389,Gm10389,,Mus musculus,,,protein_coding,
Gm10390,Gm10390,,Mus musculus,,,protein_coding,
Gm10391,Gm10391,,Mus musculus,,,protein_coding,
Gm10392,Gm10392,,Mus musculus,,,protein_coding,
Gm10393,Gm10393,,Mus musculus,,,protein_coding,
Gm10394,Gm10394,,Mus musculus,,,protein_coding,
Gm10395,Gm10395,,Mus musculus,,,protein_coding,
Gm10396,Gm10396,,Mus musculus,,,protein_coding,
Gm10397,Gm10397,,Mus musculus,,,protein_coding,
Gm10398,Gm10398,,Mus musculus,,,protein_coding,
Gm10399,Gm10399,,Mus musculus,,,protein_coding,
Gm10400,Gm10400,,Mus musculus,,,protein_coding,
Gm10401,Gm10401,,Mus musculus,,,protein_coding,
Gm10402,Gm10402,,Mus musculus,,,protein_coding,
Gm10403,Gm10403,,Mus musculus,,,protein_coding,
Gm10404,Gm10404,,Mus musculus,,,protein_coding,
Gm10405,Gm10405,,Mus musculus,,,protein_coding,
Gm10406,Gm10406,,Mus musculus,,,protein_coding,
Gm10407,Gm10407,,Mus musculus,,,protein_coding,
Gm10408,Gm10408,,Mus musculus,,,protein_coding,
Gm10409,Gm10409,,Mus musculus,,,protein_coding,
Gm10410,Gm10410,,Mus musculus,,,protein_coding,
Gm10411,Gm10411,,Mus musculus,,,protein_coding,
Gm10412,Gm10412,,Mus musculus,,,protein_coding,
Gm10413,Gm10413,,Mus musculus,,,protein_coding,
Gm10414,Gm10414,,Mus musculus,,,protein_coding,
Gm10415,Gm10415,,Mus musculus,,,protein_coding,
Gm10416,Gm10416,,Mus musculus,,,protein_coding,
Gm10417,Gm10417,,Mus musculus,,,protein_coding,
Gm10418,Gm10418,,Mus musculus,,,protein_coding,
Gm10419,Gm10419,,Mus musculus,,,protein_coding,
Gm10420,Gm10420,,Mus musculus,,,protein_coding,
Gm10421,Gm10421,,Mus musculus,,,protein_coding,
Gm10422,Gm10422,,Mus musculus,,,protein_coding,
Gm10423,Gm10423,,Mus musculus,,,protein_coding,
Gm10424,Gm10424,,Mus musculus,,,protein_coding,
Gm10425,Gm10425,,Mus musculus,,,protein_coding,
Gm10426,Gm10426,,Mus musculus,,,protein_coding,
Gm10427,Gm10427,,Mus musculus,,,protein_coding,
Gm10428,Gm10428,,Mus musculus,,,protein_coding,
Gm10429,Gm10429,,Mus musculus,,,protein_coding,
Gm10430,Gm10430,,Mus musculus,,,protein_coding,
Gm10431,Gm10431,,Mus musculus,,,protein_coding,
Gm10432,Gm10432,,Mus musculus,,,protein_coding,
Gm10433,Gm10433,,Mus musculus,,,protein_coding,
Gm10434,Gm10434,,Mus musculus,,,protein_coding,
Gm10435,Gm10435,,Mus musculus,,,protein_coding,
Gm10436,Gm10436,,Mus musculus,,,protein_coding,
Gm10437,Gm10437,,Mus musculus,,,protein_coding,
Gm10438,Gm10438,,Mus musculus,,,protein_coding,
Gm10439,Gm10439,,Mus musculus,,,protein_coding,
Gm10440,Gm10440,,Mus musculus,,,protein_coding,
Gm10441,Gm10441,,Mus musculus,,,protein_coding,
Gm10442,Gm10442,,Mus musculus,,,protein_coding,
Gm10443,Gm10443,,Mus musculus,,,protein_coding,
Gm10444,Gm10444,,Mus musculus,,,protein_coding,
